brand_name,generic_name,manufacturer_name,product_ndc,route,product_type,rxcui,stock_quantity
IOPIDINE 1%,APRACLONIDINE HYDROCHLORIDE OPHTHALMIC SOLUTION,"Harrow Eye, LLC",82667-200,OPHTHALMIC,HUMAN PRESCRIPTION DRUG,211020,82
Guanfacine,GUANFACINE,Bryant Ranch Prepack,63629-1102,ORAL,HUMAN PRESCRIPTION DRUG,862006,72
Vicks childrens VapoRub,"CAMPHOR (SYNTHETIC), EUCALYPTUS OIL, MENTHOL",Procter & Gamble Manufactura S de RL de CV,58933-595,TOPICAL,HUMAN OTC DRUG,727137,28
Clonazepam,CLONAZEPAM,REMEDYREPACK INC.,70518-1801,ORAL,HUMAN PRESCRIPTION DRUG,197527,27
Lisinopril and Hydrochlorothiazide,LISINOPRIL AND HYDROCHLOROTHIAZIDE,"PD-Rx Pharmaceuticals, Inc.",43063-468,ORAL,HUMAN PRESCRIPTION DRUG,197887,16
Mesalamine,MESALAMINE,Amneal Pharmaceuticals LLC,65162-360,ORAL,HUMAN PRESCRIPTION DRUG,833234,49
Diphenhydramine,DIPHENHYDRAMINE HYDROCHLORIDE,"Avenacy, LLC",83634-781,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,1723740,70
Allergy Relief,DIPHENHYDRAMINE HCL,Lidl US LLC,71141-177,ORAL,HUMAN OTC DRUG,1049630,70
Saint,COUGH SPRAY,"Saint Medicine, Inc.",72784-101,RESPIRATORY (INHALATION),HUMAN OTC DRUG,,81
Petroleum Jelly,WHITE PETROLATUM,WAL-MART STORES INC,79903-801,TOPICAL,HUMAN OTC DRUG,204754,89
Tension Headache Pain Relieving Aid,"ACETAMINOPHEN,CAFFEINE",WAL-MART STORES INC,79903-373,ORAL,HUMAN OTC DRUG,307686,64
Dr. Zenovia Acne Cleanser,BENZOYL PEROXIDE,"Topiderm, Inc.",51326-803,TOPICAL,HUMAN OTC DRUG,142034,18
Amoxicillin,AMOXICILLIN,A-S Medication Solutions,50090-0714,ORAL,HUMAN PRESCRIPTION DRUG,308194,76
Eszopiclone,ESZOPICLONE,"Camber Pharmaceuticals, Inc.",31722-855,ORAL,HUMAN PRESCRIPTION DRUG,485440,16
Tizanidne hydrochloride,TIZANIDNE HYDROCHLORIDE,Bryant Ranch Prepack,63629-8872,ORAL,HUMAN PRESCRIPTION DRUG,485485,100
NITYR,NITISINONE,Cycle Pharmaceuticals Ltd.,70709-000,ORAL,HUMAN PRESCRIPTION DRUG,1941464,38
Clindamycin Phosphate,CLINDAMYCIN PHOSPHATE,Bryant Ranch Prepack,63629-8632,TOPICAL,HUMAN PRESCRIPTION DRUG,197519,0
Axe,APOLLO SAGE AND CEDARWOOD SCENT 48H FRESH AND DRY ANTIPERSPIRANT,Conopco Inc. d/b/a/ Unilever,64942-2142,TOPICAL,HUMAN OTC DRUG,,12
Kroger Antibacterial,BENZALKONIUM CHLORIDE,Kroger Company,41226-500,TOPICAL,HUMAN OTC DRUG,1046593,100
HerbaGlow Baiwooxia Anti-Acne Gel,SALICYLIC ACID GEL,Kungpo Health Care & Herbal Center Inc,87351-087,TOPICAL,HUMAN OTC DRUG,346298,13
Kroger Springwater Antibacterial,BENZALKONIUM CHLORIDE,Kroger Company,41226-510,TOPICAL,HUMAN OTC DRUG,1046593,91
Equate Nicotine,NICOTINE POLACRILEX,Wal-Mart Stores Inc,49035-190,ORAL,HUMAN OTC DRUG,359818,79
Clonidine Hydrochloride,CLONIDINE HYDROCHLORIDE,"Actavis Pharma, Inc.",0228-4241,ORAL,HUMAN PRESCRIPTION DRUG,1013930,16
Kroger antibacterial LHS,BENZALKONIUM CHLORIDE,Kroger Company,41226-520,TOPICAL,HUMAN OTC DRUG,1046593,13
Kroger Antibacterial,BENZALKONIUM CHLORIDE,Kroger Company,41226-530,TOPICAL,HUMAN OTC DRUG,1046593,19
basic care daytime severe cold and flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE",Amazon.com Services LLC,72288-603,ORAL,HUMAN OTC DRUG,1369842,45
PREGABALIN,PREGABALIN,Bryant Ranch Prepack,71335-1459,ORAL,HUMAN PRESCRIPTION DRUG,483440,45
Carvedilol,CARVEDILOL,QPharma Inc,42708-181,ORAL,HUMAN PRESCRIPTION DRUG,686924,20
Eszopiclone,ESZOPICLONE,Preferred Pharmaceuticals Inc.,68788-8387,ORAL,HUMAN PRESCRIPTION DRUG,485440,23
NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,A-S Medication Solutions,50090-6820,ORAL,HUMAN PRESCRIPTION DRUG,1483744,81
Mucus Relief D,GUAIFENESIN AND PSEUDOEPHEDRINE HCL,Walgreens Company,0363-1604,ORAL,HUMAN OTC DRUG,1305603,90
Tropicamide,TROPICAMIDE,Sandoz Inc,61314-355,OPHTHALMIC,HUMAN PRESCRIPTION DRUG,314238,26
Chlorthalidone,CHLORTHALIDONE,"Unichem Pharmaceuticals (USA), Inc.",29300-333,ORAL,HUMAN PRESCRIPTION DRUG,197499,10
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,"NuCare Pharmaceuticals,Inc.",68071-3466,ORAL,HUMAN PRESCRIPTION DRUG,1650143,4
Fluticasone Propionate,FLUTICASONE PROPIONATE NASAL,Advagen Pharma Ltd.,72888-248,NASAL,HUMAN OTC DRUG,1797907,30
Trandolapril,TRANDOLAPRIL,"Rising Pharma Holdings, Inc.",57237-089,ORAL,HUMAN PRESCRIPTION DRUG,199351,0
ANTACID,CALCIUM CARBONATE,Advance Pharmaceutical Inc.,17714-025,ORAL,HUMAN OTC DRUG,577040,74
Codeine sulfate,CODEINE SULFATE,Hikma Pharmaceuticals USA Inc.,0054-0243,ORAL,HUMAN PRESCRIPTION DRUG,997170,17
Citalopram,CITALOPRAM HYDROBROMIDE,REMEDYREPACK INC.,70518-4334,ORAL,HUMAN PRESCRIPTION DRUG,309314,72
Emvita 23,"AGARICUS MUSCARIUS, CUPRUM MET, HYPOPHYSIS, RHUS TOX",RUBIMED AG,66343-110,ORAL,HUMAN OTC DRUG,,92
Equate Olopatadine Hydrochloride Ophthalmic Solution,OLOPATADINE HYDROCHLORIDE OPHTHALMIC SOLUTION,"WAL-MART STORES, INC.,",79903-319,OPHTHALMIC,HUMAN OTC DRUG,1111339,83
solifenacin succinate,SOLIFENACIN SUCCINATE,"Glenmark Pharmaceuticals Inc., USA",68462-386,ORAL,HUMAN PRESCRIPTION DRUG,477367,89
Extra strength Acetaminophen PM,ACETAMINOPHEN 500MG/ DIPHENHYDRAMINE HCL 25MG,TIME CAP LABS INC,49483-430,ORAL,HUMAN OTC DRUG,1092189,95
kirkland signature minoxidil,MINOXIDIL,Costco Wholesale Company,63981-798,TOPICAL,HUMAN OTC DRUG,311724,54
Megestrol Acetate,MEGESTROL ACETATE,ATLANTIC BIOLOGICALS CORP.,17856-0060,ORAL,HUMAN PRESCRIPTION DRUG,860225,69
SUNMARK TRIPLE ANTIBIOTIC PLUS PAIN RELIEF,"POLYMYXIN B SULFATE, BACITRACIN ZINC, NEOMYCIN SULFATE, AND PRAMOXINE HYDROCHLORIDE",A-S Medication Solutions,50090-6172,TOPICAL,HUMAN OTC DRUG,1359350,43
Amlodipine Besylate,AMLODIPINE BESYLATE,"Preferred Pharmaceuticals, Inc.",68788-9345,ORAL,HUMAN PRESCRIPTION DRUG,197361,32
Isotretinoin,ISOTRETINOIN,Mayne Pharma,68308-781,ORAL,HUMAN PRESCRIPTION DRUG,197843,15
GoodSense Eye Drops Advanced Relief Moisturizer,"DEXTRAN, POLYETHYLENE GLYCOL 400, POVIDONE, TETRAHYDROZOLINE HCL",Preferred PHarmaceuticals Inc.,68788-8635,OPHTHALMIC,HUMAN OTC DRUG,996202,49
Antiseptic Hand Sanitizer Ethyl Alcohol,ALCOHOL,"M-star (Hubei) Health&Care Products Co., Ltd.",84219-005,TOPICAL,HUMAN OTC DRUG,247835,93
Lurasidone Hydrochloride,LURASIDONE HYDROCHLORIDE,REMEDYREPACK INC.,70518-4563,ORAL,HUMAN PRESCRIPTION DRUG,1235247,90
LACOSAMIDE,LACOSAMIDE,"Virtus Pharmaceuticals, LLC",69543-455,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,809974,29
CLEAR GLOW BROAD SPECTRUM SUNCREEN SPF 50,"AVOBENZONE, HOMOSALATE OCTISALATE, OCTOCRYLENE",NAKED SUNDAYS PTY LTD,81104-984,TOPICAL,HUMAN OTC DRUG,,43
Sabal Combination 9243,SABAL COMBINATION,Professional Complementary Health Formulas,63083-9243,ORAL,HUMAN OTC DRUG,,52
Gas Relief,SIMETHICONE,"United Natural Foods, Inc. dba UNFI",41163-773,ORAL,HUMAN OTC DRUG,252294,23
Glimepiride,GLIMEPIRIDE,A-S Medication Solutions,50090-7247,ORAL,HUMAN PRESCRIPTION DRUG,199246,50
Primo Topical Anesthetic,BENZOCAINE,Tri State Dental,69509-002,DENTAL,HUMAN OTC DRUG,238910,11
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,A-S Medication Solutions,50090-7011,ORAL,HUMAN PRESCRIPTION DRUG,861007,99
Ursodiol,URSODIOL,Bryant Ranch Prepack,72162-2168,ORAL,HUMAN PRESCRIPTION DRUG,858747,57
Tiger Balm Muscle Rub,"METHYL SALICYLATE, MENTHOL, UNSPECIFIED FORM, AND CAMPHOR (SYNTHETIC)",Haw Par Healthcare Ltd.,66761-130,TOPICAL,HUMAN OTC DRUG,849504,63
Fluticasone Propionate,FLUTICASONE PROPIONATE,Bryant Ranch Prepack,63629-8658,TOPICAL,HUMAN PRESCRIPTION DRUG,895987,58
NAKED SUNDAYS CABANA GLOW MINERAL GLOW SERUM DROPS BRONZE 40mL with wild Rosella SPF 50,"TITANIUM OXIDE, ZINC OXIDE",NAKED SUNDAYS PTY LTD,81104-985,TOPICAL,HUMAN OTC DRUG,,98
Good Sense Daytime non drowsy cold and flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL",L. Perrigo Company,0113-0656,ORAL,HUMAN OTC DRUG,1113705,11
Sierra Soft Alcohol Hand Sanitizer,ETHYL ALCOHOL,CWGC LA Inc.,70415-100,TOPICAL,HUMAN OTC DRUG,582753,4
Hydrogen Peroxide,HYDROGEN PEROXIDE,Navajo Manufacturing Company Inc.,67751-001,TOPICAL,HUMAN OTC DRUG,91349,96
Quetiapine,QUETIAPINE,Bryant Ranch Prepack,71335-1462,ORAL,HUMAN PRESCRIPTION DRUG,312743,6
Gainxtra Hair Regrowth Treatment for Men and Women Minoxidil 5% Form with Biotin,MINOXIDIL,GAINXTRA LLC,85929-101,TOPICAL,HUMAN OTC DRUG,645146,31
NAKED SUNDAYS CABANA GLOW MINERAL GLOW SERUM DROPS Illuminating 40mL with Pink Algae SPF 50,"TITANIUM OXIDE, ZINC OXIDE",NAKED SUNDAYS PTY LTD,81104-986,TOPICAL,HUMAN OTC DRUG,,1
COLESEVELAM HYDROCHLORIDE,COLESEVELAM HYDROCHLORIDE,A-S Medication Solutions,50090-6995,ORAL,HUMAN PRESCRIPTION DRUG,866910,93
NAKED SUNDAYS CABANA GLOW MINERAL GLOW SERUM DROPS PEARL 40mL with Pink Algae SPF 50,"TITANIUM OXIDE, ZINC OXIDE",NAKED SUNDAYS PTY LTD,81104-983,TOPICAL,HUMAN OTC DRUG,,77
Potassium chloride,POTASSIUM CHLORIDE,"ANI Pharmaceuticals, Inc.",70954-197,ORAL,HUMAN PRESCRIPTION DRUG,1867544,95
Sumatriptan,SUMATRIPTAN,Caplin Steriles Limited,65145-118,SUBCUTANEOUS,HUMAN PRESCRIPTION DRUG,313165,70
Derman Antifungal,ZINC UNDECYLENATE,"Compania Internacional de Comercio, S.A.P.I de C.V.",54312-125,TOPICAL,HUMAN OTC DRUG,1435154,82
Mucinex,GUAIFENESIN,American Health Packaging,68084-572,ORAL,HUMAN OTC DRUG,636522,5
American Crew All In One Face Balm Broad Spectrum SPF 15,"OCTISALATE,HOMOSALATE,AVOBENZONE,OCTOCRYLENE",Revlon Consumer Products Corp,10967-651,TOPICAL,HUMAN OTC DRUG,,79
POTASSIUM CITRATE,POTASSIUM CITRATE,Bryant Ranch Prepack,72162-2121,ORAL,HUMAN PRESCRIPTION DRUG,898490,35
BICILLIN L-A,PENICILLIN G BENZATHINE,Pfizer Laboratories Div Pfizer Inc,60793-700,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,731564,48
Anticoagulant Citrate Dextrose (ACD-A),"DEXTROSE MONOHYDRATE, SODIUM CITRATE, UNSPECIFIED FORM, AND CITRIC ACID MONOHYDRATE","Terumo BCT, Ltd",14537-820,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,,1
Chlorthalidone,CHLORTHALIDONE,Proficient Rx LP,71205-592,ORAL,HUMAN PRESCRIPTION DRUG,197499,10
Modafinil,MODAFINIL,Preferred Pharmaceuticals Inc.,68788-8280,ORAL,HUMAN PRESCRIPTION DRUG,205324,26
Nicotine,NICOTINE POLACRILEX,Walgreens,0363-9590,ORAL,HUMAN OTC DRUG,359817,6
Estradiol Vaginal,ESTRADIOL,A-S Medication Solutions,50090-7266,VAGINAL,HUMAN PRESCRIPTION DRUG,310169,78
Sierrasoft Clear Antibacterial Wash Foam,CHLOROXYLENOL,CWGC LA Inc.,70415-901,TOPICAL,HUMAN OTC DRUG,436367,69
Propranolol Hydrochloride,PROPRANOLOL HYDROCHLORIDE,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8413,ORAL,HUMAN PRESCRIPTION DRUG,856448,33
Maximum Strength Severe Congestion and Cough,"DEXTROMETHORPHAN HBR, GUAIFENESIN, AND PHENYLEPHRINE HCL",SAFEWAY,21130-738,ORAL,HUMAN OTC DRUG,1043543,80
CAREALL Musle and Joint,MENTHOL,"New World Imports, Inc",51824-014,TOPICAL,HUMAN OTC DRUG,282805,57
Nufabrx Medicine Infused Socks,CAPSAICIN,Nufabrx LLC,72490-037,TOPICAL,HUMAN OTC DRUG,,59
Childrens Zyrtec,CETIRIZINE HYDROCHLORIDE,Kenvue Brands LLC,50580-790,ORAL,HUMAN OTC DRUG,2558501,5
Nufabrx Medicine Infused Ankle Sleeve,CAPSAICIN,Nufabrx LLC,72490-039,TOPICAL,HUMAN OTC DRUG,,3
Novonail Solution,TOLNAFTATE 1%,"Derma Care Research Labs, LLC",72839-507,TOPICAL,HUMAN OTC DRUG,313423,87
Fexofenadine HCL,FEXOFENADINE HCL,CVS,51316-768,ORAL,HUMAN OTC DRUG,997420,76
Warrior Arthritis Relief,TROLAMIN SALICYLATE 10%,"Derma Care Research Labs, LLC",72839-213,TOPICAL,HUMAN OTC DRUG,313518,56
Baclofen,BACLOFEN,"NuCare Pharmaceuticals,Inc.",68071-3468,ORAL,HUMAN PRESCRIPTION DRUG,197391,63
Revivol Hemorrhoid and Fissure,"GLYCERIN 14.4%, LIDOCAINE 5%, PETROLATUM 15%, PHENYLEPHRINE HCL 0.25%","Derma Care Research Labs, LLC",72839-295,TOPICAL,HUMAN OTC DRUG,2642220,43
ALTUVIIIO,"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC-VWF-XTEN FUSION PROTEIN-EHTL",Bioverativ Therapeutics Inc.,71104-978,,HUMAN PRESCRIPTION DRUG,2631088,22
Dicyclomine hydrochloride,DICYCLOMINE HYDROCHLORIDE,"Golden State Medical Supply, Inc.",51407-783,ORAL,HUMAN PRESCRIPTION DRUG,991061,21
Chlorhexidine Gluconate Solution 0.75% Antiseptic,CHLORHEXIDINE GLUCONATE SOLUTION 0.75% ANTISEPTIC,"Bajaj Medical, LLC",61037-414,TOPICAL,HUMAN OTC DRUG,,46
Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,Proficient Rx LP,71205-582,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,1665461,79
Enoxaparin Sodium,ENOXAPARIN SODIUM,NorthStar RxLLC,72603-165,SUBCUTANEOUS,HUMAN PRESCRIPTION DRUG,854228,16
Tyrvaya,VARENICLINE,"Oyster Point Pharma, Inc.",73521-030,NASAL,HUMAN PRESCRIPTION DRUG,2572365,13
Diaper Rash,ZINC OXIDE,"United Natural Foods, Inc. dba UNFI",41163-020,TOPICAL,HUMAN OTC DRUG,244638,53
AVLAYAH,TIVIDENOFUSP ALFA-EKNM,Denali Therapeutics Inc.,84976-001,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,,2
Cyclobenzaprine Hydrochloride,CYCLOBENZAPRINE HYDROCHLORIDE,Preferred Pharmaceuticals Inc.,68788-8167,ORAL,HUMAN PRESCRIPTION DRUG,,66
Ivermectin,IVERMECTIN,"Asclemed USA, Inc.",76420-619,ORAL,HUMAN PRESCRIPTION DRUG,311207,8
Pantoprazole Sodium,PANTOPRAZOLE SODIUM,Meitheal Pharmaceuticals Inc.,71288-600,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,283669,71
Penicillin V Potassium,PENICILLIN V POTASSIUM,"PD-Rx Pharmaceuticals, Inc.",43063-614,ORAL,HUMAN PRESCRIPTION DRUG,834102,92
Inde Wild,ZINC OXIDE,Inde Wild,83054-1502,TOPICAL,HUMAN OTC DRUG,,39
Nasal Decongestant PE,PHENYLEPHRINE HCL,"Better Living Brands, LLC",21130-453,ORAL,HUMAN OTC DRUG,1049182,97
CTEXLI,CHENODIOL,Mirum Pharmaceuticals Inc.,79378-310,ORAL,HUMAN PRESCRIPTION DRUG,618469,27
SOL Science The Fifty,ZINC OXIDE,Beauty Pie,83282-139,TOPICAL,HUMAN OTC DRUG,,20
Allopurinol,ALLOPURINOL,"Aphena Pharma Solutions - Tennessee, LLC",71610-678,ORAL,HUMAN PRESCRIPTION DRUG,197319,48
Crash Cream,WHITE PETROLATUM,Claridei Laboratories,61387-251,TOPICAL,HUMAN OTC DRUG,1049075,24
TOSYMRA,SUMATRIPTAN,"Upsher-Smith Laboratories, LLC",0245-0812,NASAL,HUMAN PRESCRIPTION DRUG,401978,29
TYLENOL Extra Strength,ACETAMINOPHEN,Kenvue Brands LLC,50580-590,ORAL,HUMAN OTC DRUG,198440,3
omeprazole,OMEPRAZOLE,Kroger Company,30142-557,ORAL,HUMAN OTC DRUG,402014,75
Night Time Cold and Flu,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE",The Kroger Co.,30142-634,ORAL,HUMAN OTC DRUG,1043400,96
Propranolol Hydrochloride,PROPRANOLOL HYDROCHLORIDE,American Health Packaging,60687-215,ORAL,HUMAN PRESCRIPTION DRUG,856535,22
Carbidopa and Levodopa,CARBIDOPA AND LEVODOPA,"Safecor Health, LLC",48433-015,ORAL,HUMAN PRESCRIPTION DRUG,308988,65
Gen7T Plus,"LIDOCAINE, MENTHOL","Beijing HKKY Medical Tech. Co., Ltd.",71073-207,TOPICAL,HUMAN PRESCRIPTION DRUG,2199672,20
Bismuth,BISMUTH SUBSALICYLATE,Allegiant Health,69168-046,ORAL,HUMAN OTC DRUG,308761,70
Lidocaine,LIDOCAINE,Bryant Ranch Prepack,72162-2068,TOPICAL,HUMAN PRESCRIPTION DRUG,1543069,49
Walgreens Gentle Laxative,BISACODYL SUPPOSITORY,Walgreens,0363-0466,RECTAL,HUMAN OTC DRUG,198509,37
Fulvestrant,FULVESTRANT,Meitheal Pharmaceuticals Inc,71288-555,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,727762,1
Ibuprofen,IBUPROFEN,Care One (American Sales Company),41520-745,ORAL,HUMAN OTC DRUG,310964,4
Antispetic,CETYLPYRIDINIUM CHLORIDE,"Demoulas Super Markets, Inc",53942-299,ORAL,HUMAN OTC DRUG,1100924,29
Ciele Blush and Protect,ZINC OXIDE,Ciele,83103-1513,TOPICAL,HUMAN OTC DRUG,,89
Ciele Tint and Protect,ZINC OXIDE,Ciele,83103-1819,TOPICAL,HUMAN OTC DRUG,,19
Leader Gas relief,SIMETHICONE,"CARDINAL HEALTH 110, LLC. DBA LEADER",70000-0434,ORAL,HUMAN OTC DRUG,314216,46
Hand Sanitizer,HAND SANIZIZER,"NINGBO JIANGBEI OCEAN STAR TRADING CO.,LTD",47993-363,TOPICAL,HUMAN OTC DRUG,,43
azithromycin,AZITHROMYCIN,"Lupin Pharmaceuticals, Inc.",68180-861,ORAL,HUMAN PRESCRIPTION DRUG,248656,75
Terbium Metallicum,TERBIUM METALLICUM,"Hahnemann Laboratories, INC.",37662-3640,ORAL,HUMAN OTC DRUG,,1
ACTIDOM DMX,"DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, PHENYLEPHRINE HYDROCHLORIDE","ACTIPHARMA, LLC",63102-110,ORAL,HUMAN OTC DRUG,1364914,34
ISA KNOX ANEW SOLAIRE EVERYDAY MINERAL FACE PROTECTION BROAD SPECTRUM SPF 50 SUNSCREEN,ZINC OXIDE,"LG H&H Co., Ltd.",53208-212,TOPICAL,HUMAN OTC DRUG,,88
ISA KNOX ANEW SOLAIRE EVERYDAY FACE PROTECTION BROAD SPECTRUM SPF 50 SUNSCREEN,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE","LG H&H Co., Ltd.",53208-203,TOPICAL,HUMAN OTC DRUG,,84
Accucaine,LIDOCAINE HYDROCHLORIDE,"Advanced Rx Pharmacy of Tennessee, LLC",80425-0333,INFILTRATION,HUMAN PRESCRIPTION DRUG,,12
atorvastatin calcium,ATORVASTATIN FILM COATED,"NuCare Pharmaceuticals,Inc.",68071-3470,ORAL,HUMAN PRESCRIPTION DRUG,617310,99
BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,REMEDYREPACK INC.,70518-0577,ORAL,HUMAN PRESCRIPTION DRUG,885213,32
Cold-EEZE Cold Remedy,ZINC GLUCONATE,Vespyr Brands Inc,71179-320,ORAL,HUMAN OTC DRUG,,19
Pomalidomide,POMALIDOMIDE,Natco Pharma Limited,63850-0131,ORAL,HUMAN PRESCRIPTION DRUG,1369718,12
Betaloan SUIK,BETAMETHASONE SODIUM PHOSPHATE AND BETAMETHASONE ACETATE,"Advanced Rx Pharmacy of Tennessee, LLC",80425-0347,INTRA-ARTICULAR,HUMAN PRESCRIPTION DRUG,,38
Dulcolax Laxative,BISACODYL,"Chattem, Inc.",41167-0210,RECTAL,HUMAN OTC DRUG,198509,54
Childrens Cetirizine Hydrochloride Sugar Free Grape,CETIRIZINE HYDROCHLORIDE,A-S Medication Solutions,50090-1103,ORAL,HUMAN OTC DRUG,1014673,59
Sick Stopper,"ECHINACEA, ACONITUM NAPELLUS, AGARICUS MUSCARIUS, ARALIA QUINQUEFOLIA, BAPTISIA TINCTORIA, BRYONIA, CHELIDONIUM MAJUS, EUPATORIUM PERFOLIATUM, HEPAR SULPHURIS CALCAREUM, LACHESIS MUTUS, LYCOPODIUM CLAVATUM, RHUS TOXICODENDRON, SANGUINARIA CANADENSIS, SULPHUR, THUJA OCCIDENTALIS, BUFO RANA, NUX VOMICA, ANTHRACINUM, INFLUENZINUM, PYROGENIUM","Newton Laboratories, Inc.",55714-2575,ORAL,HUMAN OTC DRUG,,81
Prednisone,PREDNISONE,Proficient Rx LP,71205-239,ORAL,HUMAN PRESCRIPTION DRUG,312615,82
Mens Speed Stick Fresh Rush - antiperspirant/deodorant,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,Colgate-Palmolive Company,35000-665,TOPICAL,HUMAN OTC DRUG,,46
Scopolamine,SCOPOLAMINE,Zydus Lifesciences Limited,70771-1787,TRANSDERMAL,HUMAN PRESCRIPTION DRUG,226552,46
Instant Hand Sanitizer,ALCOHOL,"Safetec of America, Inc.",61010-1111,TOPICAL,HUMAN OTC DRUG,,23
Granulotion Medicated,"MENTHOL, ZINC OXIDE","GL HEALTH, INC.",82897-544,TOPICAL,HUMAN OTC DRUG,1492398,25
Esmolol Hydrochloride,ESMOLOL HYDROCHLORIDE,Gland Pharma Limited,68083-211,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,1736546,34
Ibuprofen,IBUPROFEN,A-S Medication Solutions,50090-7905,ORAL,HUMAN PRESCRIPTION DRUG,197807,45
Fludarabine Phosphate,FLUDARABINE PHOSPHATE,"Lannett Company, Inc.",0527-1242,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,1740865,56
Mitomycin,MITOMYCIN,Sagent Pharmaceuticals,25021-252,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,1740898,55
Ringers,"SODIUM CHLORIDE, CALCIUM CHLORIDE, AND POTASSIUM CHLORIDE",B. Braun Medical Inc.,0264-7780,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,847617,98
Epinephrine,EPINEPHRINE,REMEDYREPACK INC.,70518-3816,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,727373,69
Sheer Defense Tinted SPF 46,"ZINC OXIDE, OCTINOXATE",Private Label Skin Care,72957-002,TOPICAL,HUMAN OTC DRUG,,36
AMOXICILLIN,AMOXICILLIN,DIRECT RX,61919-401,ORAL,HUMAN PRESCRIPTION DRUG,308189,53
Tagrid Arnica Bruise Arnica Montana 1X HPUS (7%),ARNICA MONTANA 1X HPUS (7%),TAGRID LLC,85384-0015,TOPICAL,HUMAN OTC DRUG,,30
hydrocortisone,HYDROCORTISONE,Padagis Israel Pharmaceuticals Ltd,45802-276,TOPICAL,HUMAN OTC DRUG,203105,34
foster and thrive all day pain relief,NAPROXEN SODIUM,Strategic Sourcing Services LLC,70677-1137,ORAL,HUMAN OTC DRUG,849574,38
Clonazepam,CLONAZEPAM,Northstar Rx LLC,72603-307,ORAL,HUMAN PRESCRIPTION DRUG,197527,26
Rizatriptan Benzoate,RIZATRIPTAN BENZOATE,Bryant Ranch Prepack,71335-1149,ORAL,HUMAN PRESCRIPTION DRUG,312840,33
Estradiol,ESTRADIOL,Direct_Rx,72189-502,ORAL,HUMAN PRESCRIPTION DRUG,197658,2
Estradiol,ESTRADIOL,Alvogen Inc.,47781-104,VAGINAL,HUMAN PRESCRIPTION DRUG,310169,69
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,"Northwind Health Company, LLC",51655-644,ORAL,HUMAN PRESCRIPTION DRUG,861004,20
Fenofibrate,FENOFIBRATE,"Northwind Health Company, LLC",51655-866,ORAL,HUMAN PRESCRIPTION DRUG,477562,37
Venlafaxine,VENLAFAXINE,"NuCare Pharmaceuticals,Inc.",68071-3431,ORAL,HUMAN PRESCRIPTION DRUG,313584,56
Stimulant Laxative Enteric Coated,BISACODYL,"SDA Laboratories, Inc.",66424-002,ORAL,HUMAN OTC DRUG,308753,90
olmesartan medoxomil-hydrochlorothiazide,OLMESARTAN MEDOXOMIL-HYDROCHLOROTHIAZIDE,AvKARE,42291-924,ORAL,HUMAN PRESCRIPTION DRUG,403853,7
Succinylcholine Chloride,SUCCINYLCHOLINE CHLORIDE,Zydus Pharmaceuticals USA Inc.,70710-1377,INTRAMUSCULAR,HUMAN PRESCRIPTION DRUG,1594589,27
Hylands Naturals Earache Drops,"BELLADONNA LEAF,CALCIUM CARBONATE,CHAMOMILE,LYCOPODIUM CLAVATUM SPORE,ANEMONE PATENS WHOLE,SULFUR",Hyland's Inc.,54973-4124,AURICULAR (OTIC),HUMAN OTC DRUG,,88
PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,"Lupin Pharmaceuticals,Inc.",43386-680,ORAL,HUMAN PRESCRIPTION DRUG,312289,85
